Class,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other1,Unknown
,"6,82,27,240","1,53,450","1,15,520","29,41,190","98,510","1,24,82,520","7,36,410","2,44,070","46,090","4,60,180","98,70,370","9,33,750","4,78,390","14,95,920","57,330","14,44,160","2,49,720","82,710","1,19,090","1,21,970","3,19,100","95,150","3,82,660","12,03,490","14,05,630","2,83,380","57,800","1,75,780","49,350","2,85,540","23,87,430","63,920","12,76,960","6,19,580","71,72,240","5,33,760","36,740","3,47,510","1,43,230","2,41,830","6,05,150","1,25,870","61,690","1,94,240","21,090","4,23,410","84,73,460","2,49,190","55,200","5,14,310","14,62,060","23,550","1,78,150","25,130","1,95,640","64,06,700"
L1,"5,03,490","3,780","1,040","6,900","1,060","62,580","5,030","4,250",840,"2,280","31,490","14,980",300,800,750,"20,250","4,070","1,600","1,010","3,010","2,320",640,"2,740","13,840","42,080","4,220",600,"2,570",310,"1,880","2,920","1,000","20,770",340,"62,070","10,550","1,370","8,030",800,"4,320","9,940","1,430",600,"4,670",200,"5,540","73,350","1,990",990,"5,910","19,780",460,"3,110","1,030",140,"24,960"
L2,390,0,0,10,0,10,0,0,0,0,30,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,240
L2S,"1,48,290","1,130",140,"2,780",320,"19,640","1,290","1,690",190,540,"11,760","5,210",110,160,170,"5,870","1,280",510,310,600,480,60,940,"4,240","6,100","1,030",220,780,60,640,470,240,"8,760",140,"14,850","4,030",100,"2,350",210,"1,250","3,100",410,160,"1,460",30,"1,600","26,600",560,90,"2,020","6,580",100,830,50,30,"4,070"
L2Y,"1,00,000",950,120,"1,510",240,"13,410",950,"1,250",140,350,"6,930","3,890",90,130,150,"4,010",900,400,300,450,290,60,750,"3,560","4,560",800,120,540,30,320,210,160,"6,430",40,"8,050","3,030",110,"1,820",140,890,"2,160",260,120,"1,030",30,"1,250","18,190",450,40,"1,470","4,330",70,600,30,20,"1,890"
M1,"11,770",10,10,770,10,"2,610",210,20,10,30,"4,270",180,0,70,10,190,0,60,50,10,20,0,70,90,70,20,20,70,30,20,20,0,180,80,880,40,50,0,30,110,110,0,10,10,0,20,"1,030",20,0,20,70,0,20,0,0,170
M2,860,0,0,10,0,180,30,0,0,10,80,10,0,10,0,10,0,0,0,10,0,0,10,10,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,0,0,430,0,0,0,0,0,0,0,0,10
N1 to N7,"59,050","1,210",380,"2,130",370,"7,040","1,570",90,60,"2,190","5,380","2,360",60,530,90,470,210,40,380,200,310,20,"1,310",440,270,160,400,230,10,230,"1,630",240,480,280,"1,980","1,070",220,340,580,60,540,10,310,270,10,280,"5,190",470,80,"11,110","1,520",150,100,0,0,"4,030"
O1,"1,08,180",110,80,790,80,"30,200",910,460,80,780,"11,200","1,280",10,270,80,"2,000",270,70,50,110,410,50,550,"2,880","1,040",480,30,230,60,550,"1,250",70,"2,190",130,"31,260",680,10,690,90,600,"1,180",230,160,130,10,"1,070","3,880",310,70,500,"1,700",10,230,40,10,"6,630"
O2,"57,120",80,80,"1,290",90,"15,990",600,190,30,440,"6,510",960,0,190,260,"2,840",140,50,80,90,380,10,280,740,370,340,10,130,40,340,"3,350",30,"1,050",110,"6,160",730,10,320,150,310,830,460,140,100,30,"1,110","4,610",210,60,300,"1,020",0,160,10,10,"3,310"
O3,"17,500",30,10,140,10,"4,870",160,130,20,100,"3,010",260,0,50,30,340,70,20,20,10,70,40,140,610,140,90,10,50,10,60,120,20,520,10,"2,790",200,0,130,20,150,200,20,10,30,0,190,"1,030",60,0,110,930,0,50,10,0,420
